population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,125,Colombia,1,Male,32,90-94 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,32,90-94 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,32,90-94 years,294,All causes,3,Rate,2019,15128.928474858674,15618.34214463022,14651.58655194397
1,All Population,1,Deaths,125,Colombia,2,Female,32,90-94 years,294,All causes,3,Rate,2019,12955.809012285572,13327.993003231759,12581.96637643843
1,All Population,1,Deaths,125,Colombia,1,Male,235,95+ years,294,All causes,1,Number,2019,3364.2315923712918,3517.079796882721,3219.9565132339
1,All Population,1,Deaths,125,Colombia,2,Female,235,95+ years,294,All causes,1,Number,2019,6002.022013715113,6227.627058670883,5784.890335832597
1,All Population,1,Deaths,125,Colombia,1,Male,235,95+ years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,235,95+ years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,235,95+ years,294,All causes,3,Rate,2019,19315.205393213604,20192.75926638237,18486.87276802216
1,All Population,1,Deaths,125,Colombia,2,Female,235,95+ years,294,All causes,3,Rate,2019,17654.00490175602,18317.58670142436,17015.346180260967
1,All Population,1,Deaths,125,Colombia,1,Male,8,15-19 years,493,Ischemic heart disease,1,Number,2019,21.291390225736663,25.63148373503275,18.125425120285225
1,All Population,1,Deaths,125,Colombia,2,Female,8,15-19 years,493,Ischemic heart disease,1,Number,2019,11.324533341576107,13.370000906953603,9.1728861928369
1,All Population,1,Deaths,125,Colombia,1,Male,8,15-19 years,493,Ischemic heart disease,2,Percent,2019,0.007775271167059199,0.009197328678248764,0.006650253079858085
1,All Population,1,Deaths,125,Colombia,2,Female,8,15-19 years,493,Ischemic heart disease,2,Percent,2019,0.013385128856315636,0.01589511054440177,0.010765444415059024
1,All Population,1,Deaths,125,Colombia,1,Male,8,15-19 years,493,Ischemic heart disease,3,Rate,2019,0.9830089192844313,1.1833880671434307,0.836838476499531
1,All Population,1,Deaths,125,Colombia,2,Female,8,15-19 years,493,Ischemic heart disease,3,Rate,2019,0.5523296974040668,0.6520929677621499,0.44738774679667415
1,All Population,1,Deaths,125,Colombia,1,Male,9,20-24 years,493,Ischemic heart disease,1,Number,2019,38.905391884303576,46.07952731402329,33.228106367782765
1,All Population,1,Deaths,125,Colombia,2,Female,9,20-24 years,493,Ischemic heart disease,1,Number,2019,18.77522742602694,22.158510223182915,15.803790462653195
1,All Population,1,Deaths,125,Colombia,1,Male,9,20-24 years,493,Ischemic heart disease,2,Percent,2019,0.00848341813732754,0.009980581612584947,0.00736285071634053
1,All Population,1,Deaths,125,Colombia,2,Female,9,20-24 years,493,Ischemic heart disease,2,Percent,2019,0.017212859141662852,0.02029789170372701,0.014520375955621598
1,All Population,1,Deaths,125,Colombia,1,Male,9,20-24 years,493,Ischemic heart disease,3,Rate,2019,1.7396477874115757,2.060437997262619,1.4857889593938598
1,All Population,1,Deaths,125,Colombia,2,Female,9,20-24 years,493,Ischemic heart disease,3,Rate,2019,0.8625754802586982,1.0180109760526026,0.7260610931047239
1,All Population,1,Deaths,125,Colombia,1,Male,10,25-29 years,493,Ischemic heart disease,1,Number,2019,64.72155052377158,74.10417817053325,56.872278844601254
1,All Population,1,Deaths,125,Colombia,2,Female,10,25-29 years,493,Ischemic heart disease,1,Number,2019,25.096368500690097,29.7654158394341,21.199035347829337
1,All Population,1,Deaths,125,Colombia,1,Male,10,25-29 years,493,Ischemic heart disease,2,Percent,2019,0.014387648780907043,0.016328751163971787,0.012947961785915105
1,All Population,1,Deaths,125,Colombia,2,Female,10,25-29 years,493,Ischemic heart disease,2,Percent,2019,0.02032695357996695,0.023750839850262048,0.01713292841970599
1,All Population,1,Deaths,125,Colombia,1,Male,10,25-29 years,493,Ischemic heart disease,3,Rate,2019,3.0493880878766584,3.491455262526754,2.6795657433365903
1,All Population,1,Deaths,125,Colombia,2,Female,10,25-29 years,493,Ischemic heart disease,3,Rate,2019,1.187550773960945,1.4084883482810415,1.0031304263741552
1,All Population,1,Deaths,125,Colombia,1,Male,11,30-34 years,493,Ischemic heart disease,1,Number,2019,106.16052094930147,120.39500687396675,93.90221655987129
1,All Population,1,Deaths,125,Colombia,2,Female,11,30-34 years,493,Ischemic heart disease,1,Number,2019,36.64295104865213,42.25564332490218,31.56419415526868
1,All Population,1,Deaths,125,Colombia,1,Male,11,30-34 years,493,Ischemic heart disease,2,Percent,2019,0.026477661167780303,0.029662022320248227,0.023884234582656674
1,All Population,1,Deaths,125,Colombia,2,Female,11,30-34 years,493,Ischemic heart disease,2,Percent,2019,0.026409734064883877,0.029924813522169358,0.023011044220954825
1,All Population,1,Deaths,125,Colombia,1,Male,11,30-34 years,493,Ischemic heart disease,3,Rate,2019,5.742553518690583,6.512541236370256,5.079463620720691
1,All Population,1,Deaths,125,Colombia,2,Female,11,30-34 years,493,Ischemic heart disease,3,Rate,2019,1.9470886068258153,2.2453290288430168,1.67721979438177
1,All Population,1,Deaths,125,Colombia,1,Male,12,35-39 years,493,Ischemic heart disease,1,Number,2019,171.41458760511364,189.39211147288879,155.61385521402852
1,All Population,1,Deaths,125,Colombia,2,Female,12,35-39 years,493,Ischemic heart disease,1,Number,2019,62.53965366679963,70.65226277970977,55.07085820314408
1,All Population,1,Deaths,125,Colombia,1,Male,12,35-39 years,493,Ischemic heart disease,2,Percent,2019,0.04483731278173172,0.04899348167452367,0.04093364352656343
1,All Population,1,Deaths,125,Colombia,2,Female,12,35-39 years,493,Ischemic heart disease,2,Percent,2019,0.035060325027622,0.03966970159798603,0.03129745123580313
1,All Population,1,Deaths,125,Colombia,1,Male,12,35-39 years,493,Ischemic heart disease,3,Rate,2019,9.801678656294886,10.82965366384639,8.898175030405666
1,All Population,1,Deaths,125,Colombia,2,Female,12,35-39 years,493,Ischemic heart disease,3,Rate,2019,3.404561982402174,3.8461998704380935,2.9979723133039826
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,493,Ischemic heart disease,1,Number,2019,262.0789723562227,281.82461136122794,241.2494479875065
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,493,Ischemic heart disease,1,Number,2019,116.10067990807894,129.38148284587112,105.46421492503441
