age,sex,age_sex,population,mx,pyld_rate,deaths_rate_ishd,ylds_rate_ishd,dw_adj_ishd,prevalence_ishd,deaths_rate_copd,ylds_rate_copd,dw_adj_copd,prevalence_copd,deaths_rate_dmt2,ylds_rate_dmt2,dw_adj_dmt2,prevalence_dmt2,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
12,male,12_male,0,7.79202710366466e-4,0.05056985293322482,5.554610205497483e-6,2.2220052894417786e-5,0.053631797345736795,4.35586497474165e-4,1.0071860714815825e-6,5.870732366331605e-5,0.061673661937701414,0.0010007929063257078,6.265635101058867e-7,2.5150809791999325e-4,0.051582334199320665,0.005126283894928949,0.016894985681681126,0.011641596979318759,0.04846813043801588,1.1615436798296607e-4,7.456363969812712e-4,1.4545029236506086e-4,0,0,0
13,male,13_male,0,8.583615007721736e-4,0.052251957703704395,6.22636192785422e-6,2.65058435463439e-5,0.05315505719509302,5.254507910907454e-4,1.111537271212037e-6,6.400194910651904e-5,0.06187423231652685,0.0010899796416019459,6.951118960674212e-7,2.85115602094454e-4,0.05223885543846038,0.005751251245902391,0.016432457532085748,0.009897288832806841,0.04533008528553159,1.236145763454705e-4,8.702803002813442e-4,1.5451165336726011e-4,0,0,0
14,male,14_male,0,9.455619907447984e-4,0.053990014316927244,6.979352541833384e-6,3.1618274962781894e-5,0.05268255485079706,6.338546659708283e-4,1.2266999517537452e-6,6.977407985629287e-5,0.062075454975038614,0.0011871143486303385,7.711597312342521e-7,3.2321387354908223e-4,0.05290373264179079,0.006452411058664603,0.016090228213577883,0.008422177410118614,0.042617854080427287,1.3118914959125817e-4,9.932847468960572e-4,1.6376024501664498e-4,0,0,0
15,male,15_male,0,0.001041621132281624,0.055785883898764516,7.823406745001627e-6,3.771678912516551e-5,0.05221425264242692,7.646229568690566e-4,1.353794254682789e-6,7.60667805864753e-5,0.062277332034530904,0.0012929053194542873,8.55527483332845e-7,3.664029863226989e-4,0.0535770721609931,0.007239052284429427,0.015676313670887156,0.007227115888420744,0.04000535709760019,1.3890270490649867e-4,0.001118262980630629,1.7363990149088244e-4,0,0,0
16,male,16_male,0,0.0011474388711003947,0.05764148948170817,8.769537393458436e-6,4.499158108994569e-5,0.05175011323441805,9.223695865292973e-4,1.4940563757192083e-6,8.292699983587268e-5,0.06247986562319672,0.0014081239663237544,9.491253823204342e-7,4.153631987143179e-4,0.054258981701354236,0.0081215963304651,0.015320202664125112,0.006251965530946391,0.03751477436115635,1.4691793911754107e-4,0.001241265298276147,1.8406468934147247e-4,0,0,0
17,male,17_male,2165940.6957604666,0.0012640065779273893,0.05955881806407046,9.830089192844314e-6,5.366953062349999e-5,0.05129009962308659,0.0011126603596077,1.6488505887109483e-6,9.040592028159993e-5,0.0626830578761501,0.0015336104467203,1.052963240707998e-6,4.708656678202999e-4,0.05494957033899486,0.009111735122689901,0.014991826839454398,0.00546822171665484,0.03544982029015868,1.5551009195037912e-4,0.001356865715556529,1.953345894315038e-4,0,0,0
18,male,18_male,0,0.0014096836019495095,0.061539734486202355,1.1020585608450286e-5,6.440579865305714e-5,0.050790234278314944,0.0013513915323933832,1.8291105360206967e-6,9.873124929521265e-5,0.06295921226873688,0.0016712129268970364,1.1663690147324525e-6,5.350411810123026e-4,0.055658079529983306,0.010244610059540924,0.014685681326955247,0.004805704880358441,0.033611678805221853,1.6418441916513107e-4,0.0014703217325914009,2.0734176125644454e-4,0,0,0
19,male,19_male,0,0.0015916460640776776,0.06358634134827582,1.2357150232868269e-5,7.775400605026401e-5,0.050251765541071795,0.0016525732058902786,2.039590255176065e-6,1.0801131077614689e-4,0.0633092866309006,0.0018221791558898392,1.290006442058521e-6,6.093945525316544e-4,0.05638497434467224,0.01154315263352398,0.01435077374625449,0.004266387952934778,0.03195880637767541,1.7365828678358747e-4,0.0015769003260409204,2.2048744841395203e-4,0,0,0
20,male,20_male,0,0.0017860560444531636,0.065701112037093,1.3854752143217061e-5,9.358802071393832e-5,0.049740507945087775,0.002014001328043317,2.2684214257635005e-6,1.180607177141966e-4,0.06362474321957752,0.001986227920369671,1.4278454882973468e-6,6.932651013424508e-4,0.057116676691979375,0.012992302218559858,0.01399939564882701,0.0038285954007175388,0.03064560063752203,1.8318301109381907e-4,0.0016739077670708863,2.3447979307294843e-4,0,0,0
21,male,21_male,0,0.0019554134108129505,0.06788663163820029,1.552910101271599e-5,1.113054650853557e-4,0.04931967845497393,0.002421234903791334,2.496984776168054e-6,1.2859613481795538e-4,0.06379499660923318,0.0021626287409877583,1.5852737381691215e-6,7.849785009799428e-4,0.05783889206850908,0.01456057316523191,0.013664542935652037,0.003463063274982861,0.029562218502144157,1.9301151052810106e-4,0.0017728387239010451,2.4964544511729204e-4,0,0,0
