sex_age_cat,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
female_64,0.007105668286388918,0.003784886250499304,0.03736265987333357,0.005293909670843778,0.005800856864686003,0.003357461635580316,0,0,0
female_65,0.007253463261635845,0.0038356465318954832,0.03845928975735616,0.00576057334777191,0.005656272893402398,0.003627068965549608,0,0,0
female_66,0.0074257218078365005,0.0038942920229907904,0.03978331537708212,0.006275479267681794,0.005448249495034977,0.003921378830156969,0,0,0
female_67,0.00763378498941919,0.003966669915499382,0.041336956628249336,0.006862984519510394,0.0051875048974888635,0.004237113688816895,0,0,0
female_68,0.00789223219356526,0.004044824304492271,0.0431696167022118,0.007508813982442453,0.004877117583446231,0.004576588608566719,0,0,0
female_69,0.008205857196801778,0.004142791836021679,0.04534456640013195,0.008244520361971075,0.004525763985136915,0.004949113311649874,0,0,0
female_70,0.008567531704991695,0.004267676721831518,0.04787269848103161,0.009058452593830788,0.004143407486294508,0.005347507040173468,0,0,0
female_71,0.008988568319360825,0.004413948622981157,0.050740246829738364,0.009967586501630486,0.00374443520351523,0.0057806902249109265,0,0,0
female_72,0.009494290048945815,0.0045890089886784545,0.05401879203291492,0.010955293549996218,0.003351350617785793,0.006249266186134904,0,0,0
female_73,0.010071988276233176,0.004804278366799442,0.05765472762780387,0.012039561183423666,0.0029643215743616726,0.006758136857663735,0,0,0
female_74,0.010722851263824967,0.005053692025724976,0.06169882551754287,0.01320894189988928,0.002599285726349894,0.007304584576264379,0,0,0
female_75,0.01147020548117884,0.005352093122634857,0.06631744414979537,0.014468592256936051,0.0022592039779565608,0.007896110267127478,0,0,0
female_76,0.012337286969764084,0.0056998364246178945,0.07158703322627544,0.01580979257464784,0.0019456581481989044,0.008535785253837375,0,0,0
female_77,0.013330120170158447,0.006113126276735183,0.07739664545520755,0.01721536866060764,0.0016709697458759999,0.00922729428341596,0,0,0
female_78,0.014427363484160141,0.006586461994811081,0.0838800745829189,0.018661976362780913,0.0014343555085456511,0.009978335565955062,0,0,0
female_79,0.015683207660297224,0.0071325712079530175,0.09122625937000492,0.02012248642283348,0.0012321125587949166,0.010788578520557859,0,0,0
female_80,0.0170646784806016,0.007762864971743694,0.09959670725180499,0.021567144695892992,0.0010554170063402047,0.01166937384052739,0,0,0
female_81,0.01860082648239332,0.008468744755786201,0.10892703865453793,0.022994097126263435,9.101053171670086e-4,0.012611565764437307,0,0,0
female_82,0.020307197390192537,0.009253551334462626,0.11941256271306044,0.024380938541724836,7.87539913408689e-4,0.013634339163888839,0,0,0
female_83,0.02218376985146483,0.01011629371730929,0.13123396943608306,0.025710327502810472,6.86939951761905e-4,0.014741362368301932,0,0,0
female_84,0.024150595188656466,0.011043782138632,0.14487071786575756,0.026937960249657916,6.028226188855248e-4,0.015935750333590442,0,0,0
female_85,0.026267099686506284,0.012058825364036121,0.16016433912716999,0.02802677772547577,5.3365278881344e-4,0.017232453604503796,0,0,0
female_86,0.02851127711046082,0.013104446271294165,0.1776204959849869,0.029012973457240424,4.777621616992921e-4,0.018631164573746202,0,0,0
female_87,0.03088497315139159,0.014175500992895534,0.19781772912657278,0.029881779984936213,4.316606636447509e-4,0.02013240140949779,0,0,0
female_88,0.0333165720369153,0.015284081779461773,0.22097471121408843,0.03057098710107519,3.956519216005933e-4,0.021769332818785604,0,0,0
female_89,0.03592357279789478,0.016387393954684228,0.2468801792978025,0.031157414628437415,3.650326486084913e-4,0.023529532650663633,0,0,0
female_90,0.038557576631439605,0.017453659947748244,0.27776165112721374,0.031626199029600316,3.4154278331011346e-4,0.025449047462141113,0,0,0
female_91,0.0413013497444799,0.01849325241618506,0.312750718612704,0.03198034942331317,3.230325136107277e-4,0.027491984936924438,0,0,0
female_92,0.04405347595036705,0.019509711815728904,0.3526113961805589,0.0323158928931042,3.064720992544672e-4,0.029712770840516343,0,0,0
female_93,0.046805059133630075,0.02042555085067939,0.3993518107394296,0.032512105677100625,2.9224127418409415e-4,0.0321352216647221,0,0,0
female_94,0.04965965039422718,0.021324751043307357,0.4529605502134362,0.03267760232343456,2.8016068032139926e-4,0.03474907200746672,0,0,0
female_95,0.05258673507140511,0.022176205701440674,0.5140066613797151,0.03281197919432788,2.708725047888981e-4,0.03755545513503741,0,0,0
female_96,0.05562088171174642,0.022958092906720406,0.5836539640924632,0.03280865255703259,2.6252084837720955e-4,0.04054630922000301,0,0,0
female_97,0.058613863743245655,0.02373571609436555,0.6614775767747509,0.0329705194077372,2.555500238152114e-4,0.043851762778190764,0,0,0
female_98,0.0619230612763301,0.024511467973643654,0.752122100048497,0.03299037625721438,2.4871121210518176e-4,0.04743264579975238,0,0,0
female_99,0.0652300866230372,0.02534066662040791,0.8543001499299265,0.033055310339933926,0.00024529679632790237,0.05126836511574804,0,0,0
male_0,0.024578281368256627,0.08552509550105224,0.09224761632814703,5.210522203110301e-5,2.9831523990379904e-5,6.834891273603937e-5,0,0,0
male_1,0.02302824974436624,0.06372321463087562,0.08565220960252395,5.873753197665269e-5,5.3258224000852505e-5,7.684618417525713e-5,0,0,0
male_2,0.02222948735530331,0.0547915866260916,0.08189986144752903,6.260423783606642e-5,7.053768205215674e-5,8.155244700657456e-5,0,0,0
male_3,0.021364042501028423,0.04697512345720173,0.07887553976855666,6.67969405321689e-5,9.326827313850441e-5,8.634520698310854e-5,0,0,0
male_4,0.020611610795090163,0.040683633164205646,0.0748759531710256,7.076302761334655e-5,1.230323926413336e-4,9.154884982205658e-5,0,0,0
male_5,0.02016881926545186,0.03476976837654105,0.07196742299442879,7.528799614952429e-5,1.6110527199029778e-4,9.706703890762518e-5,0,0,0
male_6,0.019611578731014254,0.030105276125356125,0.06850951723468111,7.976537058474298e-5,2.093714974167452e-4,1.0283306823076686e-4,0,0,0
male_7,0.019096702754356046,0.025729392731575776,0.06511374931356467,8.489753537641416e-5,2.689598695271495e-4,1.0903995633053733e-4,0,0,0
male_8,0.018598920522358883,0.021820827158461994,0.0618073458019225,9.036386739103664e-5,3.4123718602461687e-4,1.1550350646961311e-4,0,0,0
male_9,0.018125584867168927,0.018641374100217937,0.058178303088512046,9.620598399997074e-5,4.255274780041767e-4,1.2229611578789233e-4,0,0,0
male_10,0.017723162033603683,0.015883657476737187,0.05500631351661209,1.0233176883484184e-4,5.211214502380977e-4,1.2956755191412248e-4,0,0,0
male_11,0.01730124582869307,0.013665037587545975,0.05158869546987044,1.0889072551161684e-4,6.282593191757329e-4,1.372678426911447e-4,0,0,0
male_12,0.016894985681681126,0.011641596979318759,0.04846813043801588,1.1615436798296607e-4,7.456363969812712e-4,1.4545029236506086e-4,0,0,0
male_13,0.016432457532085748,0.009897288832806841,0.04533008528553159,1.236145763454705e-4,8.702803002813442e-4,1.5451165336726011e-4,0,0,0
male_14,0.016090228213577883,0.008422177410118614,0.042617854080427287,1.3118914959125817e-4,9.932847468960572e-4,1.6376024501664498e-4,0,0,0
male_15,0.015676313670887156,0.007227115888420744,0.04000535709760019,1.3890270490649867e-4,0.001118262980630629,1.7363990149088244e-4,0,0,0
male_16,0.015320202664125112,0.006251965530946391,0.03751477436115635,1.4691793911754107e-4,0.001241265298276147,1.8406468934147247e-4,0,0,0
male_17,0.014991826839454398,0.00546822171665484,0.03544982029015868,1.5551009195037912e-4,0.001356865715556529,1.953345894315038e-4,0,0,0
male_18,0.014685681326955247,0.004805704880358441,0.033611678805221853,1.6418441916513107e-4,0.0014703217325914009,2.0734176125644454e-4,0,0,0
male_19,0.01435077374625449,0.004266387952934778,0.03195880637767541,1.7365828678358747e-4,0.0015769003260409204,2.2048744841395203e-4,0,0,0
male_20,0.01399939564882701,0.0038285954007175388,0.03064560063752203,1.8318301109381907e-4,0.0016739077670708863,2.3447979307294843e-4,0,0,0
male_21,0.013664542935652037,0.003463063274982861,0.029562218502144157,1.9301151052810106e-4,0.0017728387239010451,2.4964544511729204e-4,0,0,0
male_22,0.013324244826764165,0.0031785697194535393,0.02866417472147087,2.031957379933861e-4,0.0018643090027461733,2.661548525904263e-4,0,0,0
male_23,0.012982755148730362,0.0029445393352813274,0.02791070784040897,2.142434486260362e-4,0.0019510771817271223,2.8353933568573157e-4,0,0,0
male_24,0.012692091458825197,0.002757728418321193,0.027407561372811376,2.2620104801083932e-4,0.0020395356906831624,3.024797094267758e-4,0,0,0
male_25,0.012388811501749678,0.002614329517220547,0.0270404237938641,2.3911253945411515e-4,0.0021300071377576128,3.2353450093015087e-4,0,0,0
male_26,0.012118546054606959,0.0025050315664913872,0.026850567565700468,2.520117290887837e-4,0.0022274775468524664,3.467517502176201e-4,0,0,0
male_27,0.011909683725012263,0.0024287228687110292,0.026769866693184242,2.668187365935039e-4,0.002331619833087877,3.7077987998323587e-4,0,0,0
male_28,0.011727457048256354,0.002376815189721519,0.026798491924834536,2.8251732740625253e-4,0.0024444498170718013,3.967670695626635e-4,0,0,0
male_29,0.0115805814443178,0.0023488146036398268,0.027016895381378636,2.9967011028871234e-4,0.0025632382958709473,4.250349599506097e-4,0,0,0
male_30,0.0114615971144136,0.0023371085618547737,0.02726320512307314,3.19543541396691e-4,0.0026879882377075,4.5681030028478736e-4,0,0,0
male_31,0.011396730318889485,0.0023478001326801426,0.02759807441535826,3.4133090028412133e-4,0.0028199884334620074,4.905816413565592e-4,0,0,0
male_32,0.01137365964419694,0.0023685511008103514,0.027966892616256376,3.6593166546211527e-4,0.002960220981900956,5.279058101259567e-4,0,0,0
male_33,0.011405781276451272,0.0023967743523731566,0.028434911229691426,3.948248941102951e-4,0.0031051597272868043,5.677735145973456e-4,0,0,0
male_34,0.01143889520961696,0.0024433284736724284,0.029022497946693628,4.276268981998063e-4,0.003258724245020335,6.117734708667884e-4,0,0,0
